数据日期,时间,功率(KW)
2024-11-15,00:00,13002
2024-11-15,00:15,17859.6
2024-11-15,00:30,18763.8
2024-11-15,00:45,19067.4
2024-11-15,01:00,15483.6
2024-11-15,01:15,13450.8
2024-11-15,01:30,18631.8
2024-11-15,01:45,17219.4
2024-11-15,02:00,18334.8
2024-11-15,02:15,18506.4
2024-11-15,02:30,14473.8
2024-11-15,02:45,14209.8
2024-11-15,03:00,14559.6
2024-11-15,03:15,18440.4
2024-11-15,03:30,18770.4
2024-11-15,03:45,19014.6
2024-11-15,04:00,13213.2
2024-11-15,04:15,15358.2
2024-11-15,04:30,11939.4
2024-11-15,04:45,14117.4
2024-11-15,05:00,18559.2
2024-11-15,05:15,15127.2
2024-11-15,05:30,16044.6
2024-11-15,05:45,17120.4
2024-11-15,06:00,17470.2
2024-11-15,06:15,18400.8
2024-11-15,06:30,14731.2
2024-11-15,06:45,8771.4
2024-11-15,07:00,10467.6
2024-11-15,07:15,17358
2024-11-15,07:30,18334.8
2024-11-15,07:45,13140.6
2024-11-15,08:00,13391.4
2024-11-15,08:15,11088
2024-11-15,08:30,12942.6
2024-11-15,08:45,13952.4
2024-11-15,09:00,11833.8
2024-11-15,09:15,14058
2024-11-15,09:30,12797.4
2024-11-15,09:45,13589.4
2024-11-15,10:00,11939.4
2024-11-15,10:15,13516.8
2024-11-15,10:30,12936
2024-11-15,10:45,13358.4
2024-11-15,11:00,10744.8
2024-11-15,11:15,12619.2
2024-11-15,11:30,13206.6
2024-11-15,11:45,12031.8
2024-11-15,12:00,13180.2
2024-11-15,12:15,13233
2024-11-15,12:30,9088.2
2024-11-15,12:45,10414.8
2024-11-15,13:00,13186.8
2024-11-15,13:15,11167.2
2024-11-15,13:30,13015.2
2024-11-15,13:45,13048.2
2024-11-15,14:00,13556.4
2024-11-15,14:15,10018.8
2024-11-15,14:30,13741.2
2024-11-15,14:45,14117.4
2024-11-15,15:00,7273.2
2024-11-15,15:15,9616.2
2024-11-15,15:30,14018.4
2024-11-15,15:45,11220
2024-11-15,16:00,1577.4
2024-11-15,16:15,1115.4
2024-11-15,16:30,1155
2024-11-15,16:45,976.8
2024-11-15,17:00,983.4
2024-11-15,17:15,1056
2024-11-15,17:30,1115.4
2024-11-15,17:45,864.6
2024-11-15,18:00,805.2
2024-11-15,18:15,765.6
2024-11-15,18:30,805.2
2024-11-15,18:45,818.4
2024-11-15,19:00,825
2024-11-15,19:15,752.4
2024-11-15,19:30,719.4
2024-11-15,19:45,792
2024-11-15,20:00,792
2024-11-15,20:15,844.8
2024-11-15,20:30,1240.8
2024-11-15,20:45,1815
2024-11-15,21:00,3795
2024-11-15,21:15,17833.2
2024-11-15,21:30,17364.6
2024-11-15,21:45,19245.6
2024-11-15,22:00,18869.4
2024-11-15,22:15,18301.8
2024-11-15,22:30,15206.4
2024-11-15,22:45,15549.6
2024-11-15,23:00,14394.6
2024-11-15,23:15,18631.8
2024-11-15,23:30,18453.6
2024-11-15,23:45,19192.8
2024-11-16,00:00,17773.8
2024-11-16,00:15,16519.8
2024-11-16,00:30,18730.8
2024-11-16,00:45,17740.8
2024-11-16,01:00,18770.4
2024-11-16,01:15,17958.6
2024-11-16,01:30,18691.2
2024-11-16,01:45,18585.6
2024-11-16,02:00,15034.8
2024-11-16,02:15,11464.2
2024-11-16,02:30,18321.6
2024-11-16,02:45,17839.8
2024-11-16,03:00,18565.8
2024-11-16,03:15,15378
2024-11-16,03:30,18051
2024-11-16,03:45,15034.8
2024-11-16,04:00,11140.8
2024-11-16,04:15,10335.6
2024-11-16,04:30,14830.2
2024-11-16,04:45,18836.4
2024-11-16,05:00,18585.6
2024-11-16,05:15,11424.6
2024-11-16,05:30,18348
2024-11-16,05:45,18684.6
2024-11-16,06:00,18519.6
2024-11-16,06:15,18704.4
2024-11-16,06:30,18810
2024-11-16,06:45,16368
2024-11-16,07:00,10322.4
2024-11-16,07:15,12031.8
2024-11-16,07:30,15397.8
2024-11-16,07:45,14440.8
2024-11-16,08:00,14322
2024-11-16,08:15,14348.4
2024-11-16,08:30,6857.4
2024-11-16,08:45,13351.8
2024-11-16,09:00,10170.6
2024-11-16,09:15,14467.2
2024-11-16,09:30,10289.4
2024-11-16,09:45,12955.8
2024-11-16,10:00,13536.6
2024-11-16,10:15,12751.2
2024-11-16,10:30,13774.2
2024-11-16,10:45,12097.8
2024-11-16,11:00,13622.4
2024-11-16,11:15,13582.8
2024-11-16,11:30,9583.2
2024-11-16,11:45,11028.6
2024-11-16,12:00,10428
2024-11-16,12:15,12856.8
2024-11-16,12:30,14005.2
2024-11-16,12:45,13252.8
2024-11-16,13:00,10289.4
2024-11-16,13:15,10494
2024-11-16,13:30,10131
2024-11-16,13:45,10005.6
2024-11-16,14:00,14190
2024-11-16,14:15,14130.6
2024-11-16,14:30,6507.6
2024-11-16,14:45,10032
2024-11-16,15:00,9787.8
2024-11-16,15:15,11767.8
2024-11-16,15:30,13728
2024-11-16,15:45,9688.8
2024-11-16,16:00,4923.6
2024-11-16,16:15,1089
2024-11-16,16:30,811.8
2024-11-16,16:45,805.2
2024-11-16,17:00,752.4
2024-11-16,17:15,778.8
2024-11-16,17:30,792
2024-11-16,17:45,759
2024-11-16,18:00,712.8
2024-11-16,18:15,679.8
2024-11-16,18:30,1036.2
2024-11-16,18:45,930.6
2024-11-16,19:00,838.2
2024-11-16,19:15,805.2
2024-11-16,19:30,924
2024-11-16,19:45,739.2
2024-11-16,20:00,831.6
2024-11-16,20:15,785.4
2024-11-16,20:30,825
2024-11-16,20:45,1188
2024-11-16,21:00,1874.4
2024-11-16,21:15,17424
2024-11-16,21:30,17556
2024-11-16,21:45,18249
2024-11-16,22:00,14790.6
2024-11-16,22:15,18882.6
2024-11-16,22:30,18816.6
2024-11-16,22:45,14632.2
2024-11-16,23:00,8137.8
2024-11-16,23:15,17252.4
2024-11-16,23:30,18922.2
2024-11-16,23:45,16308.6
2024-11-17,00:00,9306
2024-11-17,00:15,15345
2024-11-17,00:30,14929.2
2024-11-17,00:45,15140.4
2024-11-17,01:00,17694.6
2024-11-17,01:15,18341.4
2024-11-17,01:30,18249
2024-11-17,01:45,16539.6
2024-11-17,02:00,11464.2
2024-11-17,02:15,16770.6
2024-11-17,02:30,18394.2
2024-11-17,02:45,18202.8
2024-11-17,03:00,11919.6
2024-11-17,03:15,13477.2
2024-11-17,03:30,14803.8
2024-11-17,03:45,18196.2
2024-11-17,04:00,18090.6
2024-11-17,04:15,16770.6
2024-11-17,04:30,14183.4
2024-11-17,04:45,14830.2
2024-11-17,05:00,18889.2
2024-11-17,05:15,15061.2
