数据日期,时间,负荷
1/1/2024,0:00,248.4
1/1/2024,0:15,228
1/1/2024,0:30,226.8
1/1/2024,0:45,241.2
1/1/2024,1:00,226.8
1/1/2024,1:15,223.2
1/1/2024,1:30,231.6
1/1/2024,1:45,204
1/1/2024,2:00,196.8
1/1/2024,2:15,195.6
1/1/2024,2:30,206.4
1/1/2024,2:45,198
1/1/2024,3:00,195.6
1/1/2024,3:15,204
1/1/2024,3:30,360
1/1/2024,3:45,267.6
1/1/2024,4:00,261.6
1/1/2024,4:15,271.2
1/1/2024,4:30,229.2
1/1/2024,4:45,220.8
1/1/2024,5:00,222
1/1/2024,5:15,223.2
1/1/2024,5:30,214.8
1/1/2024,5:45,213.6
1/1/2024,6:00,220.8
1/1/2024,6:15,193.2
1/1/2024,6:30,198
1/1/2024,6:45,201.6
1/1/2024,7:00,195.6
1/1/2024,7:15,190.8
1/1/2024,7:30,201.6
1/1/2024,7:45,187.2
1/1/2024,8:00,176.4
1/1/2024,8:15,189.6
1/1/2024,8:30,195.6
1/1/2024,8:45,176.4
1/1/2024,9:00,181.2
1/1/2024,9:15,187.2
1/1/2024,9:30,165.6
1/1/2024,9:45,168
1/1/2024,10:00,175.2
1/1/2024,10:15,172.8
1/1/2024,10:30,162
1/1/2024,10:45,163.2
1/1/2024,11:00,320.4
1/1/2024,11:15,181.2
1/1/2024,11:30,163.2
1/1/2024,11:45,164.4
1/1/2024,12:00,171.6
1/1/2024,12:15,158.4
1/1/2024,12:30,159.6
1/1/2024,12:45,182.4
1/1/2024,13:00,159.6
1/1/2024,13:15,159.6
1/1/2024,13:30,170.4
1/1/2024,13:45,168
1/1/2024,14:00,159.6
1/1/2024,14:15,159.6
1/1/2024,14:30,170.4
1/1/2024,14:45,160.8
1/1/2024,15:00,163.2
1/1/2024,15:15,170.4
1/1/2024,15:30,163.2
1/1/2024,15:45,158.4
1/1/2024,16:00,158.4
1/1/2024,16:15,166.8
1/1/2024,16:30,174
1/1/2024,16:45,174
1/1/2024,17:00,169.2
1/1/2024,17:15,168
1/1/2024,17:30,166.8
1/1/2024,17:45,190.8
1/1/2024,18:00,194.4
1/1/2024,18:15,188.4
1/1/2024,18:30,186
1/1/2024,18:45,194.4
1/1/2024,19:00,194.4
1/1/2024,19:15,189.6
1/1/2024,19:30,189.6
1/1/2024,19:45,199.2
1/1/2024,20:00,190.8
1/1/2024,20:15,192
1/1/2024,20:30,199.2
1/1/2024,20:45,190.8
1/1/2024,21:00,194.4
1/1/2024,21:15,192
1/1/2024,21:30,201.6
1/1/2024,21:45,192
1/1/2024,22:00,190.8
1/1/2024,22:15,198
1/1/2024,22:30,190.8
1/1/2024,22:45,190.8
1/1/2024,23:00,189.6
1/1/2024,23:15,199.2
1/1/2024,23:30,190.8
1/1/2024,23:45,190.8
1/2/2024,0:00,200.4
1/2/2024,0:15,192
1/2/2024,0:30,193.2
1/2/2024,0:45,193.2
1/2/2024,1:00,198
1/2/2024,1:15,194.4
1/2/2024,1:30,190.8
1/2/2024,1:45,214.8
1/2/2024,2:00,207.6
1/2/2024,2:15,206.4
1/2/2024,2:30,216
1/2/2024,2:45,202.8
1/2/2024,3:00,195.6
1/2/2024,3:15,193.2
1/2/2024,3:30,192
1/2/2024,3:45,199.2
1/2/2024,4:00,193.2
1/2/2024,4:15,190.8
1/2/2024,4:30,201.6
1/2/2024,4:45,190.8
1/2/2024,5:00,192
1/2/2024,5:15,199.2
1/2/2024,5:30,210
1/2/2024,5:45,205.2
1/2/2024,6:00,204
1/2/2024,6:15,199.2
1/2/2024,6:30,195.6
1/2/2024,6:45,198
1/2/2024,7:00,364.8
1/2/2024,7:15,616.8
1/2/2024,7:30,423.6
1/2/2024,7:45,752.4
1/2/2024,8:00,1366.8
1/2/2024,8:15,1306.8
1/2/2024,8:30,1130.4
1/2/2024,8:45,952.8
1/2/2024,9:00,907.2
1/2/2024,9:15,1458
1/2/2024,9:30,1452
1/2/2024,9:45,1400.4
1/2/2024,10:00,1316.4
1/2/2024,10:15,1272
1/2/2024,10:30,1291.2
1/2/2024,10:45,1245.6
1/2/2024,11:00,452.4
1/2/2024,11:15,340.8
1/2/2024,11:30,297.6
1/2/2024,11:45,901.2
1/2/2024,12:00,934.8
1/2/2024,12:15,1172.4
1/2/2024,12:30,1431.6
1/2/2024,12:45,1194
1/2/2024,13:00,1336.8
1/2/2024,13:15,1140
1/2/2024,13:30,1354.8
1/2/2024,13:45,1204.8
1/2/2024,14:00,1452
1/2/2024,14:15,1550.4
1/2/2024,14:30,1378.8
1/2/2024,14:45,1528.8
1/2/2024,15:00,1360.8
1/2/2024,15:15,1708.8
1/2/2024,15:30,1666.8
1/2/2024,15:45,1500
1/2/2024,16:00,1702.8
1/2/2024,16:15,1626
1/2/2024,16:30,2046
1/2/2024,16:45,1219.2
1/2/2024,17:00,1438.8
1/2/2024,17:15,1345.2
1/2/2024,17:30,1407.6
1/2/2024,17:45,1447.2
1/2/2024,18:00,456
1/2/2024,18:15,354
1/2/2024,18:30,322.8
1/2/2024,18:45,307.2
1/2/2024,19:00,308.4
1/2/2024,19:15,316.8
1/2/2024,19:30,500.4
1/2/2024,19:45,742.8
1/2/2024,20:00,934.8
1/2/2024,20:15,964.8
1/2/2024,20:30,1206
1/2/2024,20:45,1395.6
1/2/2024,21:00,1738.8
1/2/2024,21:15,1953.6
1/2/2024,21:30,2025.6
1/2/2024,21:45,2187.6
1/2/2024,22:00,2643.6
1/2/2024,22:15,2202
1/2/2024,22:30,2696.4
1/2/2024,22:45,3286.8
1/2/2024,23:00,3208.8
1/2/2024,23:15,3289.2
1/2/2024,23:30,2397.6
1/2/2024,23:45,2391.6
1/3/2024,0:00,2416.8
1/3/2024,0:15,3284.4
1/3/2024,0:30,3297.6
1/3/2024,0:45,3337.2
1/3/2024,1:00,3258
1/3/2024,1:15,2359.2
1/3/2024,1:30,3262.8
1/3/2024,1:45,3259.2
1/3/2024,2:00,3462
1/3/2024,2:15,3436.8
1/3/2024,2:30,3309.6
1/3/2024,2:45,3313.2
1/3/2024,3:00,2721.6
1/3/2024,3:15,2127.6
1/3/2024,3:30,2121.6
1/3/2024,3:45,2072.4
1/3/2024,4:00,2106
1/3/2024,4:15,2074.8
1/3/2024,4:30,3218.4
1/3/2024,4:45,3271.2
1/3/2024,5:00,3279.6
1/3/2024,5:15,3298.8
1/3/2024,5:30,2409.6
1/3/2024,5:45,3304.8
1/3/2024,6:00,3309.6
1/3/2024,6:15,3385.2
1/3/2024,6:30,3363.6
1/3/2024,6:45,3309.6
1/3/2024,7:00,3298.8
1/3/2024,7:15,3656.4
1/3/2024,7:30,3638.4
1/3/2024,7:45,3788.4
1/3/2024,8:00,4162.8
1/3/2024,8:15,4540.8
1/3/2024,8:30,4375.2
1/3/2024,8:45,4411.2
1/3/2024,9:00,4464
1/3/2024,9:15,4246.8
1/3/2024,9:30,3482.4
1/3/2024,9:45,4395.6
1/3/2024,10:00,4544.4
1/3/2024,10:15,4281.6
1/3/2024,10:30,4339.2
1/3/2024,10:45,4572
1/3/2024,11:00,3374.4
1/3/2024,11:15,2619.6
1/3/2024,11:30,2542.8
1/3/2024,11:45,3476.4
1/3/2024,12:00,3945.6
1/3/2024,12:15,4038
1/3/2024,12:30,4545.6
1/3/2024,12:45,4336.8
1/3/2024,13:00,3802.8
1/3/2024,13:15,4239.6
1/3/2024,13:30,4340.4
1/3/2024,13:45,4329.6
1/3/2024,14:00,4322.4
1/3/2024,14:15,4546.8
1/3/2024,14:30,4332
1/3/2024,14:45,3656.4
1/3/2024,15:00,4280.4
1/3/2024,15:15,4501.2
1/3/2024,15:30,3566.4
1/3/2024,15:45,4404
1/3/2024,16:00,3984
1/3/2024,16:15,3422.4
1/3/2024,16:30,4563.6
1/3/2024,16:45,4537.2
1/3/2024,17:00,4183.2
1/3/2024,17:15,4353.6
1/3/2024,17:30,3259.2
1/3/2024,17:45,3123.6
1/3/2024,18:00,2817.6
1/3/2024,18:15,2364
1/3/2024,18:30,2648.4
1/3/2024,18:45,3418.8
1/3/2024,19:00,3373.2
1/3/2024,19:15,3364.8
1/3/2024,19:30,3319.2
1/3/2024,19:45,3270
1/3/2024,20:00,2979.6
1/3/2024,20:15,3362.4
1/3/2024,20:30,3385.2
1/3/2024,20:45,2440.8
1/3/2024,21:00,2946
1/3/2024,21:15,3350.4
1/3/2024,21:30,3488.4
1/3/2024,21:45,2496
1/3/2024,22:00,2558.4
1/3/2024,22:15,3428.4
1/3/2024,22:30,3453.6
1/3/2024,22:45,2554.8
1/3/2024,23:00,3444
1/3/2024,23:15,3343.2
1/3/2024,23:30,2538
1/3/2024,23:45,2510.4
1/4/2024,0:00,3422.4
1/4/2024,0:15,3435.6
1/4/2024,0:30,#VALUE!
1/4/2024,0:45,#VALUE!
1/4/2024,1:00,3372
1/4/2024,1:15,3373.2
1/4/2024,1:30,3484.8
1/4/2024,1:45,3472.8
1/4/2024,2:00,2487.6
1/4/2024,2:15,3459.6
1/4/2024,2:30,3424.8
1/4/2024,2:45,2485.2
1/4/2024,3:00,3393.6
1/4/2024,3:15,3375.6
1/4/2024,3:30,3387.6
1/4/2024,3:45,2496
1/4/2024,4:00,3358.8
1/4/2024,4:15,2554.8
1/4/2024,4:30,2570.4
1/4/2024,4:45,3418.8
