日期,时间,负荷
12月22日,8:30:00,3628.8
12月22日,8:15:00,3902.4
12月22日,8:00:00,3243.2
12月22日,7:45:00,3475.2
12月22日,7:30:00,4035.2
12月22日,7:15:00,4201.6
12月22日,7:00:00,4137.6
12月22日,6:45:00,3899.2
12月22日,6:30:00,3830.4
12月22日,6:15:00,3844.8
12月22日,6:00:00,4006.4
12月22日,5:45:00,4030.4
12月22日,5:30:00,4172.8
12月22日,5:15:00,4152
12月22日,5:00:00,4009.6
12月22日,4:45:00,4316.8
12月22日,4:30:00,4574.4
12月22日,4:15:00,4649.6
12月22日,4:00:00,4779.2
12月22日,3:45:00,4678.4
12月22日,3:30:00,4497.6
12月22日,3:15:00,4531.2
12月22日,3:00:00,5156.8
12月22日,2:45:00,4953.6
12月22日,2:30:00,4864
12月22日,2:15:00,4347.2
12月22日,2:00:00,4872
12月22日,1:45:00,4910.4
12月22日,1:30:00,4828.8
12月22日,1:15:00,4707.2
12月22日,1:00:00,4577.6
12月22日,0:45:00,5054.4
12月22日,0:30:00,4892.8
12月22日,0:15:00,4961.6
12月22日,0:00:00,4694.4
12月21日,23:45:00,4681.6
12月21日,23:30:00,4168
12月21日,23:15:00,4147.2
12月21日,23:00:00,4174.4
12月21日,22:45:00,4952
12月21日,22:30:00,4843.2
12月21日,22:15:00,5057.6
12月21日,22:00:00,4516.8
12月21日,21:45:00,4548.8
12月21日,21:30:00,4417.6
12月21日,21:15:00,4411.2
12月21日,21:00:00,4918.4
12月21日,20:45:00,4571.2
12月21日,20:30:00,4696
12月21日,20:15:00,4598.4
12月21日,20:00:00,4619.2
12月21日,19:45:00,4412.8
12月21日,19:30:00,4572.8
12月21日,19:15:00,4872
12月21日,19:00:00,4840
12月21日,18:45:00,5105.6
12月21日,18:30:00,5004.8
12月21日,18:15:00,4963.2
12月21日,18:00:00,3926.4
12月21日,17:45:00,4067.2
12月21日,17:30:00,4241.6
12月21日,17:15:00,4488
12月21日,17:00:00,4646.4
12月21日,16:45:00,5056
12月21日,16:30:00,4180.8
12月21日,16:15:00,3958.4
12月21日,16:00:00,4084.8
12月21日,15:45:00,4038.4
12月21日,15:30:00,3998.4
12月21日,15:15:00,4667.2
12月21日,15:00:00,4350.4
12月21日,14:45:00,4076.8
12月21日,14:30:00,3848
12月21日,14:15:00,4006.4
12月21日,14:00:00,3953.6
12月21日,13:45:00,3944
12月21日,13:30:00,3380.8
12月21日,13:15:00,3678.4
12月21日,13:00:00,5030.4
12月21日,12:45:00,4897.6
12月21日,12:30:00,5216
12月21日,12:15:00,4934.4
12月21日,12:00:00,4696
12月21日,11:45:00,4780.8
12月21日,11:30:00,5297.6
12月21日,11:15:00,5035.2
12月21日,11:00:00,4481.6
12月21日,10:45:00,2969.6
12月21日,10:30:00,2809.6
12月21日,10:15:00,2856
12月21日,10:00:00,2227.2
12月21日,9:45:00,1764.8
12月21日,9:30:00,2228.8
12月21日,9:15:00,2056
12月21日,9:00:00,3536
12月21日,8:45:00,3048
12月21日,8:30:00,3278.4
12月21日,8:15:00,3428.8
12月21日,8:00:00,2934.4
12月21日,7:45:00,2992
12月21日,7:30:00,2668.8
12月21日,7:15:00,2252.8
12月21日,7:00:00,2892.8
12月21日,6:45:00,3176
12月21日,6:30:00,3268.8
12月21日,6:15:00,2931.2
12月21日,6:00:00,2928
12月21日,5:45:00,3307.2
12月21日,5:30:00,3059.2
12月21日,5:15:00,3428.8
12月21日,5:00:00,3624
12月21日,4:45:00,3281.6
12月21日,4:30:00,3435.2
12月21日,4:15:00,3680
12月21日,4:00:00,3673.6
12月21日,3:45:00,3729.6
12月21日,3:30:00,3550.4
12月21日,3:15:00,3609.6
12月21日,3:00:00,3958.4
12月21日,2:45:00,4046.4
12月21日,2:30:00,3873.6
12月21日,2:15:00,3619.2
12月21日,2:00:00,3627.2
12月21日,1:45:00,3454.4
12月21日,1:30:00,3601.6
12月21日,1:15:00,3264
12月21日,1:00:00,3566.4
12月21日,0:45:00,3443.2
12月21日,0:30:00,3502.4
12月21日,0:15:00,3401.6
12月21日,0:00:00,3169.6
12月20日,23:45:00,3323.2
12月20日,23:30:00,2998.4
12月20日,23:15:00,3184
12月20日,23:00:00,3417.6
12月20日,22:45:00,3905.6
12月20日,22:30:00,3952
12月20日,22:15:00,3923.2
12月20日,22:00:00,3592
12月20日,21:45:00,3582.4
12月20日,21:30:00,3081.6
12月20日,21:15:00,3142.4
12月20日,21:00:00,3436.8
12月20日,20:45:00,3414.4
12月20日,20:30:00,3649.6
12月20日,20:15:00,3732.8
12月20日,20:00:00,3628.8
12月20日,19:45:00,3348.8
12月20日,19:30:00,3435.2
12月20日,19:15:00,3216
12月20日,19:00:00,3657.6
12月20日,18:45:00,4035.2
12月20日,18:30:00,3710.4
12月20日,18:15:00,3752
12月20日,18:00:00,3558.4
12月20日,17:45:00,3748.8
12月20日,17:30:00,3944
12月20日,17:15:00,3918.4
12月20日,17:00:00,3460.8
12月20日,16:45:00,3704
12月20日,16:30:00,2740.8
12月20日,16:15:00,2960
12月20日,16:00:00,2681.6
12月20日,15:45:00,2937.6
12月20日,15:30:00,2950.4
12月20日,15:15:00,3081.6
12月20日,15:00:00,2608
12月20日,14:45:00,2568
12月20日,14:30:00,2579.2
12月20日,14:15:00,2731.2
12月20日,14:00:00,2812.8
12月20日,13:45:00,2963.2
12月20日,13:30:00,2113.6
12月20日,13:15:00,2308.8
12月20日,13:00:00,3553.6
12月20日,12:45:00,4180.8
12月20日,12:30:00,4507.2
12月20日,12:15:00,4144
12月20日,12:00:00,3576
12月20日,11:45:00,3753.6
12月20日,11:30:00,3596.8
12月20日,11:15:00,4454.4
12月20日,11:00:00,3545.6
12月20日,10:45:00,2203.2
12月20日,10:30:00,2124.8
12月20日,10:15:00,1960
12月20日,10:00:00,2294.4
12月20日,9:45:00,2062.4
12月20日,9:30:00,2131.2
12月20日,9:15:00,2478.4
12月20日,9:00:00,3153.6
12月20日,8:45:00,2902.4
12月20日,8:30:00,2560
12月20日,8:15:00,3104
12月20日,8:00:00,2763.2
12月20日,7:45:00,2652.8
12月20日,7:30:00,2998.4
12月20日,7:15:00,2808
12月20日,7:00:00,2470.4
12月20日,6:45:00,3131.2
12月20日,6:30:00,3241.6
12月20日,6:15:00,3304
12月20日,6:00:00,3364.8
12月20日,5:45:00,3339.2
12月20日,5:30:00,3096
12月20日,5:15:00,3388.8
12月20日,5:00:00,3272
12月20日,4:45:00,3289.6
12月20日,4:30:00,3505.6
12月20日,4:15:00,3192
12月20日,4:00:00,3222.4
12月20日,3:45:00,3140.8
12月20日,3:30:00,3968
12月20日,3:15:00,3547.2
12月20日,3:00:00,3665.6
12月20日,2:45:00,3339.2
12月20日,2:30:00,3688
12月20日,2:15:00,3608
12月20日,2:00:00,3769.6
12月20日,1:45:00,3299.2
12月20日,1:30:00,3579.2
12月20日,1:15:00,3440
12月20日,1:00:00,3252.8
12月20日,0:45:00,3372.8
12月20日,0:30:00,3259.2
12月20日,0:15:00,3272
12月20日,0:00:00,3374.4
12月19日,23:45:00,3268.8
12月19日,23:30:00,2827.2
12月19日,23:15:00,3291.2
12月19日,23:00:00,3417.6
12月19日,22:45:00,3971.2
12月19日,22:30:00,3756.8
12月19日,22:15:00,3664
12月19日,22:00:00,3529.6
12月19日,21:45:00,3636.8
12月19日,21:30:00,3486.4
12月19日,21:15:00,3523.2
12月19日,21:00:00,3212.8
12月19日,20:45:00,3785.6
12月19日,20:30:00,3342.4
12月19日,20:15:00,4025.6
12月19日,20:00:00,3660.8
12月19日,19:45:00,3492.8
12月19日,19:30:00,3552
12月19日,19:15:00,4056
12月19日,19:00:00,3900.8
12月19日,18:45:00,3979.2
12月19日,18:30:00,4027.2
12月19日,18:15:00,3438.4
12月19日,18:00:00,3763.2
12月19日,17:45:00,3769.6
12月19日,17:30:00,3558.4
12月19日,17:15:00,3904
12月19日,17:00:00,3742.4
12月19日,16:45:00,3923.2
12月19日,16:30:00,3641.6
12月19日,16:15:00,3145.6
12月19日,16:00:00,3369.6
12月19日,15:45:00,3182.4
12月19日,15:30:00,2745.6
12月19日,15:15:00,3228.8
12月19日,15:00:00,3497.6
12月19日,14:45:00,3235.2
12月19日,14:30:00,3201.6
12月19日,14:15:00,3462.4
12月19日,14:00:00,3424
12月19日,13:45:00,2777.6
12月19日,13:30:00,2449.6
12月19日,13:15:00,2827.2
12月19日,13:00:00,4480
12月19日,12:45:00,4755.2
12月19日,12:30:00,4635.2
12月19日,12:15:00,4465.6
12月19日,12:00:00,3780.8
12月19日,11:45:00,3712
12月19日,11:30:00,4033.6
12月19日,11:15:00,3953.6
12月19日,11:00:00,3350.4
12月19日,10:45:00,2828.8
12月19日,10:30:00,2644.8
12月19日,10:15:00,3003.2
12月19日,10:00:00,2982.4
12月19日,9:45:00,2632
12月19日,9:30:00,2624
12月19日,9:15:00,2769.6
12月19日,9:00:00,3089.6
12月19日,8:45:00,3027.2
12月19日,8:30:00,2896
12月19日,8:15:00,3017.6
12月19日,8:00:00,2616
12月19日,7:45:00,2596.8
12月19日,7:30:00,3080
12月19日,7:15:00,3286.4
12月19日,7:00:00,3160
12月19日,6:45:00,3283.2
12月19日,6:30:00,3569.6
12月19日,6:15:00,3416
12月19日,6:00:00,3321.6
12月19日,5:45:00,3889.6
12月19日,5:30:00,3358.4
12月19日,5:15:00,3051.2
12月19日,5:00:00,3243.2
12月19日,4:45:00,3252.8
12月19日,4:30:00,3331.2
12月19日,4:15:00,3214.4
12月19日,4:00:00,2950.4
12月19日,3:45:00,3105.6
12月19日,3:30:00,3441.6
12月19日,3:15:00,3147.2
12月19日,3:00:00,3433.6
12月19日,2:45:00,3236.8
12月19日,2:30:00,3448
12月19日,2:15:00,3819.2
12月19日,2:00:00,2825.6
12月19日,1:45:00,2824
12月19日,1:30:00,3121.6
12月19日,1:15:00,3516.8
12月19日,1:00:00,3729.6
12月19日,0:45:00,3806.4
12月19日,0:30:00,3345.6
12月19日,0:15:00,2998.4
12月19日,0:00:00,3203.2
12月18日,23:45:00,3025.6
12月18日,23:30:00,3180.8
12月18日,23:15:00,2828.8
12月18日,23:00:00,3275.2
12月18日,22:45:00,3931.2
12月18日,22:30:00,3616
12月18日,22:15:00,3734.4
12月18日,22:00:00,3585.6
12月18日,21:45:00,3544
12月18日,21:30:00,3336
12月18日,21:15:00,3382.4
12月18日,21:00:00,3739.2
12月18日,20:45:00,3308.8
12月18日,20:30:00,3240
12月18日,20:15:00,3601.6
12月18日,20:00:00,3609.6
12月18日,19:45:00,3580.8
12月18日,19:30:00,3460.8
12月18日,19:15:00,3950.4
12月18日,19:00:00,4060.8
12月18日,18:45:00,4267.2
12月18日,18:30:00,4057.6
12月18日,18:15:00,3944
12月18日,18:00:00,3526.4
12月18日,17:45:00,3387.2
12月18日,17:30:00,3950.4
12月18日,17:15:00,3763.2
12月18日,17:00:00,3803.2
