日期,时间,功率(KW)
12月22日,8:30,3628.8
12月22日,8:15,3902.4
12月22日,8:00,3243.2
12月22日,7:45,3475.2
12月22日,7:30,4035.2
12月22日,7:15,4201.6
12月22日,7:00,4137.6
12月22日,6:45,3899.2
12月22日,6:30,3830.4
12月22日,6:15,3844.8
12月22日,6:00,4006.4
12月22日,5:45,4030.4
12月22日,5:30,4172.8
12月22日,5:15,4152
12月22日,5:00,4009.6
12月22日,4:45,4316.8
12月22日,4:30,4574.4
12月22日,4:15,4649.6
12月22日,4:00,4779.2
12月22日,3:45,4678.4
12月22日,3:30,4497.6
12月22日,3:15,4531.2
12月22日,3:00,5156.8
12月22日,2:45,4953.6
12月22日,2:30,4864
12月22日,2:15,4347.2
12月22日,2:00,4872
12月22日,1:45,4910.4
12月22日,1:30,4828.8
12月22日,1:15,4707.2
12月22日,1:00,4577.6
12月22日,0:45,5054.4
12月22日,0:30,4892.8
12月22日,0:15,4961.6
12月22日,0:00,4694.4
12月21日,23:45,4681.6
12月21日,23:30,4168
12月21日,23:15,4147.2
12月21日,23:00,4174.4
12月21日,22:45,4952
12月21日,22:30,4843.2
12月21日,22:15,5057.6
12月21日,22:00,4516.8
12月21日,21:45,4548.8
12月21日,21:30,4417.6
12月21日,21:15,4411.2
12月21日,21:00,4918.4
12月21日,20:45,4571.2
12月21日,20:30,4696
12月21日,20:15,4598.4
12月21日,20:00,4619.2
12月21日,19:45,4412.8
12月21日,19:30,4572.8
12月21日,19:15,4872
12月21日,19:00,4840
12月21日,18:45,5105.6
12月21日,18:30,5004.8
12月21日,18:15,4963.2
12月21日,18:00,3926.4
12月21日,17:45,4067.2
12月21日,17:30,4241.6
12月21日,17:15,4488
12月21日,17:00,4646.4
12月21日,16:45,5056
12月21日,16:30,4180.8
12月21日,16:15,3958.4
12月21日,16:00,4084.8
12月21日,15:45,4038.4
12月21日,15:30,3998.4
12月21日,15:15,4667.2
12月21日,15:00,4350.4
12月21日,14:45,4076.8
12月21日,14:30,3848
12月21日,14:15,4006.4
12月21日,14:00,3953.6
12月21日,13:45,3944
12月21日,13:30,3380.8
12月21日,13:15,3678.4
12月21日,13:00,5030.4
12月21日,12:45,4897.6
12月21日,12:30,5216
12月21日,12:15,4934.4
12月21日,12:00,4696
12月21日,11:45,4780.8
12月21日,11:30,5297.6
12月21日,11:15,5035.2
12月21日,11:00,4481.6
12月21日,10:45,2969.6
12月21日,10:30,2809.6
12月21日,10:15,2856
12月21日,10:00,2227.2
12月21日,9:45,1764.8
12月21日,9:30,2228.8
12月21日,9:15,2056
12月21日,9:00,3536
12月21日,8:45,3048
12月21日,8:30,3278.4
12月21日,8:15,3428.8
12月21日,8:00,2934.4
12月21日,7:45,2992
12月21日,7:30,2668.8
12月21日,7:15,2252.8
12月21日,7:00,2892.8
12月21日,6:45,3176
12月21日,6:30,3268.8
12月21日,6:15,2931.2
12月21日,6:00,2928
12月21日,5:45,3307.2
12月21日,5:30,3059.2
12月21日,5:15,3428.8
12月21日,5:00,3624
12月21日,4:45,3281.6
12月21日,4:30,3435.2
12月21日,4:15,3680
12月21日,4:00,3673.6
12月21日,3:45,3729.6
12月21日,3:30,3550.4
12月21日,3:15,3609.6
12月21日,3:00,3958.4
12月21日,2:45,4046.4
12月21日,2:30,3873.6
12月21日,2:15,3619.2
12月21日,2:00,3627.2
12月21日,1:45,3454.4
12月21日,1:30,3601.6
12月21日,1:15,3264
