日期,时间,功率(KW)
2/3/2025,0:00:00,86.6
2/3/2025,0:15:00,95.4
2/3/2025,0:30:00,118.8
2/3/2025,0:45:00,98
2/3/2025,1:00:00,83.8
2/3/2025,1:15:00,100
2/3/2025,1:30:00,78.6
2/3/2025,1:45:00,52.2
2/3/2025,2:00:00,76
2/3/2025,2:15:00,68.4
2/3/2025,2:30:00,92.6
2/3/2025,2:45:00,91.8
2/3/2025,3:00:00,80.8
2/3/2025,3:15:00,56
2/3/2025,3:30:00,61.6
2/3/2025,3:45:00,92.2
2/3/2025,4:00:00,82.6
2/3/2025,4:15:00,100.4
2/3/2025,4:30:00,120
2/3/2025,4:45:00,117
2/3/2025,5:00:00,119.8
2/3/2025,5:15:00,122.4
2/3/2025,5:30:00,94.8
2/3/2025,5:45:00,96
2/3/2025,6:00:00,67.4
2/3/2025,6:15:00,95.8
2/3/2025,6:30:00,72.6
2/3/2025,6:45:00,111
2/3/2025,7:00:00,137.2
2/3/2025,7:15:00,161.8
2/3/2025,7:30:00,155.2
2/3/2025,7:45:00,154
2/3/2025,8:00:00,212.8
2/3/2025,8:15:00,215.8
2/3/2025,8:30:00,213.6
2/3/2025,8:45:00,212.6
2/3/2025,9:00:00,229.2
2/3/2025,9:15:00,154.4
2/3/2025,9:30:00,186.8
2/3/2025,9:45:00,183
2/3/2025,10:00:00,204.2
2/3/2025,10:15:00,235.6
2/3/2025,10:30:00,199.6
2/3/2025,10:45:00,199.2
2/3/2025,11:00:00,189.8
2/3/2025,11:15:00,227.2
2/3/2025,11:30:00,204
2/3/2025,11:45:00,158.2
2/3/2025,12:00:00,178.2
2/3/2025,12:15:00,151.2
2/3/2025,12:30:00,241.2
2/3/2025,12:45:00,198.4
2/3/2025,13:00:00,188
2/3/2025,13:15:00,172.6
2/3/2025,13:30:00,196
2/3/2025,13:45:00,176.8
2/3/2025,14:00:00,200
2/3/2025,14:15:00,234.2
2/3/2025,14:30:00,155
2/3/2025,14:45:00,214.6
2/3/2025,15:00:00,175.8
2/3/2025,15:15:00,208.6
2/3/2025,15:30:00,267.8
2/3/2025,15:45:00,184
2/3/2025,16:00:00,251.8
2/3/2025,16:15:00,221.6
2/3/2025,16:30:00,239
2/3/2025,16:45:00,241
2/3/2025,17:00:00,132.2
2/3/2025,17:15:00,172.2
2/3/2025,17:30:00,142.4
2/3/2025,17:45:00,193.2
2/3/2025,18:00:00,198.2
2/3/2025,18:15:00,134.6
2/3/2025,18:30:00,191.2
2/3/2025,18:45:00,174
2/3/2025,19:00:00,173.6
2/3/2025,19:15:00,150.4
2/3/2025,19:30:00,150.8
2/3/2025,19:45:00,174.2
2/3/2025,20:00:00,156.2
2/3/2025,20:15:00,156.2
2/3/2025,20:30:00,194.2
2/3/2025,20:45:00,154
2/3/2025,21:00:00,169.4
2/3/2025,21:15:00,147.6
2/3/2025,21:30:00,133.2
2/3/2025,21:45:00,123.4
2/3/2025,22:00:00,135.6
2/3/2025,22:15:00,138.8
2/3/2025,22:30:00,182
2/3/2025,22:45:00,123.6
2/3/2025,23:00:00,147.4
2/3/2025,23:15:00,120.8
2/3/2025,23:30:00,99.4
2/3/2025,23:45:00,131.6
